Date,Tree,Trt,Total,Adult,Crawler
0,7,Dino,1673,699,974
0,18,Pyri,1532,1189,343
0,19,Imid,1272,1073,199
0,54,Limo,1127,654,473
0,44,Control,879,492,387
0,11,Water,833,508,325
0,28,Dino,811,572,239
0,45,Imid,802,459,343
0,10,Limo,761,455,306
0,55,Water,742,421,321
0,66,Pyri,717,452,265
0,12,Control,712,593,119
0,49,Water,555,191,364
0,52,Limo,495,152,343
0,33,Pyri,494,292,202
0,15,Control,461,333,128
0,82,Imid,414,302,112
0,1,Dino,271,125,146
0,27,Control,271,158,113
0,17,Imid,221,147,74
0,36,Water,204,136,68
0,84,Limo,185,68,117
0,5,Dino,182,101,81
0,35,Pyri,67,15,52
0,47,Imid,52,34,18
0,9,Water,51,12,39
0,37,Limo,50,26,24
0,20,Pyri,35,32,3
0,46,Control,26,18,8
0,4,Dino,20,9,11
0,6,Water,17,8,9
0,26,Imid,15,9,6
0,24,Dino,8,6,2
0,53,Control,7,5,2
0,88,Pyri,7,4,3
0,23,Limo,2,2,0
1,7,Dino,659,482,177
1,18,Pyri,1576,1164,412
1,19,Imid,1573,1207,366
1,54,Limo,656,446,210
1,44,Control,945,666,279
1,11,Water,686,532,154
1,28,Dino,550,304,246
1,45,Imid,988,501,487
1,10,Limo,464,290,174
1,55,Water,297,237,60
1,66,Pyri,721,423,298
1,12,Control,304,207,97
1,49,Water,309,199,110
1,52,Limo,304,189,115
1,33,Pyri,688,416,272
1,15,Control,384,330,54
1,82,Imid,186,163,23
1,1,Dino,61,56,5
1,27,Control,135,117,18
1,17,Imid,188,176,12
1,36,Water,196,151,45
1,84,Limo,100,100,0
1,5,Dino,139,119,20
1,35,Pyri,77,24,53
1,47,Imid,106,99,7
1,9,Water,20,15,5
1,37,Limo,67,18,49
1,20,Pyri,65,18,47
1,46,Control,55,17,38
1,4,Dino,143,44,99
1,6,Water,7,6,1
1,26,Imid,80,23,57
1,24,Dino,17,16,1
1,53,Control,38,15,23
1,88,Pyri,49,10,39
1,23,Limo,11,7,4
2,7,Dino,773,590,183
2,18,Pyri,1417,1122,295
2,19,Imid,1276,1056,220
2,54,Limo,679,517,162
2,44,Control,629,408,221
2,11,Water,520,429,91
2,28,Dino,393,295,98
2,45,Imid,664,474,190
2,10,Limo,220,44,176
2,55,Water,486,326,160
2,66,Pyri,480,341,139
2,12,Control,531,299,232
2,49,Water,293,204,89
2,52,Limo,62,48,14
2,33,Pyri,538,350,188
2,15,Control,331,247,84
2,82,Imid,164,132,32
2,1,Dino,168,106,62
2,27,Control,245,193,52
2,17,Imid,196,161,35
2,36,Water,415,199,216
2,84,Limo,94,74,20
2,5,Dino,203,103,100
2,35,Pyri,55,26,29
2,47,Imid,238,164,74
2,9,Water,39,17,22
2,37,Limo,21,7,14
2,20,Pyri,31,12,19
